label,nb_universites
LES MOLIÈRES,2
TIGERY,2
FRANOIS,2
SAUVETERRE-DE-BÉARN,2
PHAFFANS,2
DAMPIERRE-LES-BOIS,2
VILLEFRANQUE,2
SAINT-PÈRE,2
SAINT-AUBIN-SUR-GAILLON,2
CORBREUSE,2
VILLENEUVE-SUR-AUVERS,2
FONTAINES,2
BUSSIÈRE-GALANT,2
FONTENOY,2
SAINT-FARGEAU,2
VILLEMAURY,2
ALIXAN,2
GUIGNEVILLE-SUR-ESSONNE,2
CHALO-SAINT-MARS,2
MALAY-LE-GRAND,2
VOUJEAUCOURT,2
CHÈVREMONT,2
LA CHAPELLE-LONGUEVILLE,2
CHÂTENOIS-LES-FORGES,2
LE TRONQUAY,2
LE VAL D'OCRE,2
VÉRON,2
CHENY,2
LE PERREY,2
ARTHEZ-DE-BÉARN,2
EZY-SUR-EURE,2
MONTREUX-CHÂTEAU,2
GUICHAINVILLE,2
LA HAYE-MALHERBE,2
LE MANOIR,2
BOSROUMOIS,2
VILLENEUVE-LA-GUYARD,2
CHARMES-SUR-L'HERBASSE,2
ROCHES-LÈS-BLAMONT,2
ETUEFFONT,2
SAINT-SÉBASTIEN-DE-MORSENT,2
LIEUREY,2
MANDRES-LES-ROSES,2
TULETTE,2
SAINT-GEORGES-SUR-BAULCHE,2
CHAPDES-BEAUFORT,2
CISTERNES-LA-FORÊT,2
CHÂTEL-SUR-MOSELLE,2
CHÂTILLON-SAINT-JEAN,2
VAGNEY,2
VAUGRIGNEUSE,2
SAINT-PREST,2
FRÉPILLON,2
VILLIERS-LE-BÂCLE,2
DIVAJEU,2
SOLAURE EN DIOIS,2
MARINES,2
ABLEIGES,2
LA BAFFE,2
VERT-LE-GRAND,2
PLOUNÉVEZ-LOCHRIST,2
SAINT-SULPICE-LAURIÈRE,2
VILLIERS-SUR-ORGE,2
MONTOISON,2
POUXEUX,2
MARBOUÉ,2
ANCÔNE,2
SAINT-DENIS-LANNERAY,2
CLAVEYSON,2
SENONES,2
MIRECOURT,2
DOMMARTIN-LÈS-REMIREMONT,2
GRANE,2
SAINT-SORLIN-EN-VALLOIRE,2
SAULCY-SUR-MEURTHE,2
AOUSTE-SUR-SYE,2
SAINT-PAUL-LÈS-ROMANS,2
VINCEY,2
ARCHES,2
GUYANS-VENNES,2
VERT-LE-PETIT,2
CUNLHAT,2
XERTIGNY,2
SAULNIÈRES,2
LES LOGES,2
MARCILLY-SUR-TILLE,2
PROPRIANO,2
WAVRECHAIN-SOUS-DENAIN,2
BIERNÉ-LES-VILLAGES,2
MONTIGNÉ-LE-BRILLANT,2
SAINT-GERMER-DE-FLY,2
MONTAUDIN,2
MONTCHEVREUIL,2
LACHAPELLE-AUX-POTS,2
PORT-BRILLET,2
VALLIÈRES-SUR-FIER,2
VAIGES,2
SAINT-OUËN-DES-TOITS,2
ANDEVILLE,2
LE PLESSIS-BRION,2
PENDÉ,2
BRENOUILLE,2
HOUSSAY,2
FRESSENNEVILLE,2
NOINTEL,2
CHAILLAND,2
BEAUMONT-PIED-DE-BOEUF,2
DOULAINCOURT-SAUCOURT,2
ARC-EN-BARROIS,2
LE BOURGNEUF-LA-FORÊT,2
FILLINGES,2
ENTRAMMES,2
GONDECOURT,2
HORDAIN,2
LA BOISSIÈRE-ECOLE,2
LAY-SAINT-CHRISTOPHE,2
BLÉNOD-LÈS-PONT-À-MOUSSON,2
SAINT-LOUP-LAMAIRÉ,2
PAGNY-SUR-MOSELLE,2
LOISY,2
VILLIERS-EN-PLAINE,2
ARDIN,2
HATRIZE,2
LOUPFOUGÈRES,2
GENECH,2
AUTEUIL,2
CONTAMINE-SUR-ARVE,2
HAROUÉ,2
COSNES-ET-ROMAIN,2
THYEZ,2
FAYE-L'ABBESSE,2
VAILLY,2
BAYON,2
LA RUE-SAINT-PIERRE,2
LE MONTSAUGEONNAIS,2
CHÂTILLON-SUR-MARNE,2
FONTEVRAUD-L'ABBAYE,2
BRETENIÈRE,2
PRÉCY-SUR-OISE,2
BESSÉ-SUR-BRAYE,2
PÉRIERS,2
AGNEAUX,2
QUETTREVILLE-SUR-SIENNE,2
BOURBRIAC,2
GACÉ,2
YVRÉ-L'EVÊQUE,2
VEZINS,2
REMY,2
SAINT-CHRISTOPHE-DU-BOIS,2
DURTAL,2
BOUILLÉ-MÉNARD,2
GOUAREC,2
HUILLÉ-LÉZIGNÉ,2
BEAULIEU-SUR-LAYON,2
ISPAGNAC,2
BADAROUX,2
SAINT-SYLVESTRE-SUR-LOT,2
BOURGVALLÉES,2
VESLY,2
HAUTVILLERS,2
PAYRIN-AUGMONTEL,2
LE MEUX,2
JACOB-BELLECOMBETTE,2
MAGENTA,2
PIERRY,2
SAINT-BRICE-COURCELLES,2
COURTISOLS,2
HERMES,2
MUIZON,2
YENNE,2
TOURS-SUR-MARNE,2
LES PIEUX,2
FRIGNICOURT,2
BELLENEUVE,2
LAVANNES,2
ESTERNAY,2
PORT-BAIL-SUR-MER,2
SAINT-MARS-LA-BRIÈRE,2
MORTEFONTAINE,2
BREUIL-LE-SEC,2
ATTICHY,2
LEXY,2
MÉTEREN,2
FUMEL,2
LONGLAVILLE,2
FILSTROFF,2
DEÛLÉMONT,2
SAULNY,2
EGUELSHARDT,2
RÉMILLY,2
JURY,2
MÉCLEUVES,2
NOISSEVILLE,2
SAINTE-BARBE,2
TETING-SUR-NIED,2
BARONVILLE,2
LE BAN-SAINT-MARTIN,2
SOUCHT,2
MAREUIL-LÈS-MEAUX,2
COUME,2
VARREDDES,2
PLAPPEVILLE,2
HALLENNES-LEZ-HAUBOURDIN,2
PLESNOIS,2
HASNON,2
VILLENOY,2
CHEVRY-COSSIGNY,2
BÉNING-LÈS-SAINT-AVOLD,2
BOULANGE,2
QUINCAMPOIX,2
FONTAINE-LE-BOURG,2
ETRETAT,2
CHÂTEAU-CHINON (VILLE),2
SAINT-JACQUES-SUR-DARNÉTAL,2
CARLING,2
SAINTE-MARGUERITE-SUR-MER,2
BOUSIES,2
HUNDLING,2
CORNY-SUR-MOSELLE,2
MONDELANGE,2
ROUMARE,2
BOUSSE,2
DIEBLING,2
BOUZONVILLE,2
ZETTING,2
NEUFGRANGE,2
COURCELLES-CHAUSSY,2
AVESNELLES,2
BUDING,2
BACHANT,2
SAINT-DOLAY,2
LE PALAIS,2
BRANDÉRION,2
GRAND-CHAMP,2
GESTEL,2
CONCORET,2
BRIGNAC,2
NOYAL-PONTIVY,2
FOURNES-EN-WEPPES,2
GOUZEAUCOURT,2
NEULLIAC,2
MOUSTOIR-AC,2
GUÉNIN,2
PLOUGOUMELEN,2
MOUSSY-LE-NEUF,2
PLOEREN,2
PEILLAC,2
ECAILLON,2
MORÉAC,2
COLPO,2
LÉROUVILLE,2
COUSANCES-LES-FORGES,2
PAGNY-SUR-MEUSE,2
CHAMBOURCY,2
BEIGNON,2
GROIX,2
LA VRAIE-CROIX,2
GONNEVILLE-SUR-SCIE,2
LUMIGNY-NESLES-ORMEAUX,2
SAINT-PIERRE-QUIBERON,2
SAINT-GONNERY,2
NEUVILLE-SAINT-RÉMY,2
CHAILLY-EN-BIÈRE,2
MAINCY,2
NÉANT-SUR-YVEL,2
MUZILLAC,2
PERTHES,2
RUMEGIES,2
NOMAIN,2
THIENNES,2
MEUCON,2
MAURON,2
MALESTROIT,2
RÉGUINY,2
ESLETTES,2
CROUY-SUR-OURCQ,2
LEWARDE,2
EMMERIN,2
BOUCÉ,2
ASTAFFORT,2
APPIETTO,2
DUNIÈRES,2
HUCQUELIERS,2
SAULON-LA-CHAPELLE,2
TART,2
SPOY,2
SAINT-SAUVEUR-VILLAGES,2
DONNEVILLE,2
SAINT-DÉSIR,2
BLANGY-LE-CHÂTEAU,2
VANDENESSE-EN-AUXOIS,2
IZEURE,2
CORCELLES-LÈS-CÎTEAUX,2
BÂGÉ-LE-CHÂTEL,2
BELLEFOND,2
TUREIA,2
TIL-CHÂTEL,2
FATU-HUVA,2
HOUSSEN,2
LANTENAY,2
WETTOLSHEIM,2
TADEN,2
PONTRIEUX,2
THURET,2
VERNINES,2
MUESPACH,2
LAIGNES,2
LA SÉAUVE-SUR-SEMÈNE,2
VERGONGHEON,2
LAMOTHE,2
SAINT-PAL-DE-CHALENCON,2
SAINT-HÉAND,2
SAINT-MARCELLIN-EN-FOREZ,2
L'ETRAT,2
SAINT-PAUL-EN-JAREZ,2
LA FOUILLOUSE,2
LOSNE,2
CHARGEY-LÈS-GRAY,2
PERREUX,2
AUMALE,2
SAINT-JEAN-DE-LOSNE,2
VILLEMONTAIS,2
SAINT-SAUVEUR-EN-RUE,2
PONT-DE-L'ISÈRE,2
ORMOY-LA-RIVIÈRE,2
CRIQUETOT-L'ESNEVAL,2
VERNEIL-LE-CHÉTIF,2
PRAT,2
ROSPEZ,2
BELEP,2
PRUNELLI-DI-FIUMORBO,2
FELLETIN,2
SAINT-MÉDARD-DE-MUSSIDAN,2
VANXAINS,2
OFFENDORF,2
SCHWINDRATZHEIM,2
CASE-PILOTE,2
GEUDERTHEIM,2
SUZE-LA-ROUSSE,2
VAL DE LOUYRE ET CAUDEAU,2
SAINT AULAYE-PUYMANGOU,2
SAINT-VAURY,2
GHISONACCIA,2
SAN-MARTINO-DI-LOTA,2
THÉZA,2
MOROSAGLIA,2
EYMET,2
SAINT-ANTOINE-DE-BREUILH,2
SAN-NICOLAO,2
SAINTE-MARIE-LA-MER,2
LA DOUZE,2
ARS,2
MOURS-SAINT-EUSÈBE,2
PENVÉNAN,2
SAINT-BRANDAN,2
PULVERSHEIM,2
GRÂCES,2
MATIGNON,2
THIO,2
PLESTAN,2
PLEUMEUR-GAUTIER,2
MIQUELON-LANGLADE,2
POMMERIT-LE-VICOMTE,2
QUINTIN,2
NIEDERHERGHEIM,2
SESSENHEIM,2
TRÉVÉ,2
BRÉHAND,2
PLOURIVO,2
LA CHÈZE,2
PLEUBIAN,2
PLOUBEZRE,2
SOUFFLENHEIM,2
HOCHFELDEN,2
SCHIRRHEIN,2
ARAULES,2
MONTFAUCON-EN-VELAY,2
DAMAZAN,2
SAINT-PAL-DE-MONS,2
CHILLEURS-AUX-BOIS,2
LADON,2
SANDILLON,2
TIGY,2
CHÂTEAU-RENARD,2
BOYNES,2
RANG-DU-FLIERS,2
BAZOCHES-LES-GALLERANDES,2
SAINT-DENIS-DE-L'HÔTEL,2
VILLAMBLARD,2
VITRY-AUX-LOGES,2
BUSNES,2
MEURCHIN,2
VILLEREAU,2
LORRIS,2
SAINT-HILAIRE-DE-CLISSON,2
BOURS,2
FRUGES,2
LA PLANCHE,2
LAPUGNOY,2
SAINTE-ANNE-SUR-BRIVET,2
CERDON,2
NEUVIREUIL,2
LIMOGNE-EN-QUERCY,2
PORT-SAINTE-MARIE,2
MONTPEZAT,2
SAINT-EUTROPE-DE-BORN,2
SAINT-GEORGES-DES-GROSEILLERS,2
TRENTELS,2
MESSEI,2
PERCHE EN NOCÉ,2
MONTAIGUT-LE-BLANC,2
SAINT-SIXTE,2
LE MAS-D'AGENAIS,2
SÉRIGNAC-SUR-GARONNE,2
MOROGES,2
LAVARDAC,2
CHERRÉ-AU,2
LE VIGNON-EN-QUERCY,2
VAYRAC,2
LACAPELLE-MARIVAL,2
BIACHE-SAINT-VAAST,2
VIEIL-MOUTIER,2
THIRON-GARDAIS,2
VIREY-LE-GRAND,2
CORCOUÉ-SUR-LOGNE,2
PORT-SAINT-PÈRE,2
SAINT-COLOMBAN,2
AISEREY,2
SOUCHEZ,2
LA GRIGONNAIS,2
FRÉTHUN,2
SAINT-GERMAIN-AU-MONT-D'OR,2
LESPESSES,2
LA CHAPELLE-LAUNAY,2
CHAMBOEUF,2
BROCHON,2
CAMPBON,2
BOUSSAY,2
SAILLY-LABOURSE,2
SOIRANS,2
HABSHEIM,2
PLOMBIÈRES-LÈS-DIJON,2
RIBEAUVILLÉ,2
BATZ-SUR-MER,2
SAINT-FERRÉOL-D'AUROURE,2
PONT-SALOMON,2
TENCE,2
SOLIGNAC-SUR-LOIRE,2
SAINT-GENIS-LES-OLLIÈRES,2
SANGATTE,2
MOUZEIL,2
ARNAS,2
NOTRE-DAME-DES-LANDES,2
MORRE,2
LE LANDREAU,2
ZUTKERQUE,2
LA MEILLERAYE-DE-BRETAGNE,2
MONTBERT,2
AUDRUICQ,2
LA CAPELLE-LÈS-BOULOGNE,2
GENESTON,2
BRAINS,2
MAUVES-SUR-LOIRE,2
LE TEMPLE-DE-BRETAGNE,2
SAINT-LAURENT-BLANGY,2
PUSIGNAN,2
QUILLY,2
CAMBLAIN-CHÂTELAIN,2
JOUÉ-SUR-ERDRE,2
MÉSANGER,2
LIMONEST,2
MERLIMONT,2
RUITZ,2
BOLOGNE,2
PONT-AVEN,2
BOUAFLE,2
LATOUR-BAS-ELNE,2
CANOHÈS,2
PÉZILLA-LA-RIVIÈRE,2
VENTISERI,2
ARBONNE-LA-FORÊT,2
SAINTE-CROIX-VALLÉE-FRANÇAISE,2
CERVIONE,2
PALAU-DEL-VIDRE,2
BANYULS-SUR-MER,2
SAINT-JEAN-PLA-DE-CORTS,2
MAUREILLAS-LAS-ILLAS,2
LE PLESSIS-PÂTÉ,2
CLAIRA,2
GIRONVILLE-SUR-ESSONNE,2
VAUX-SUR-SEINE,2
MONTFORT-L'AMAURY,2
VILLIERS-SAINT-FRÉDÉRIC,2
BOISSY-LE-CUTTÉ,2
VAYRES-SUR-ESSONNE,2
ANGERVILLIERS,2
LALOUBÈRE,2
CASTILLONNÈS,2
LANSAC,2
GOUSSONVILLE,2
TROUILLAS,2
ALÉRIA,2
BRÉHAL,2
LA NORVILLE,2
PRESLES-EN-BRIE,2
LIPSHEIM,2
CHAMPTOCÉ-SUR-LOIRE,2
BOERSCH,2
DINSHEIM-SUR-BRUCHE,2
VIGNY,2
DAUENDORF,2
BONIFACIO,2
REICHSHOFFEN,2
SEINE-PORT,2
GROSSETO-PRUGNA,2
JARZÉ VILLAGES,2
REYNÈS,2
FERRIÈRES-EN-BRIE,2
ECKBOLSHEIM,2
CANDÉ,2
ECCICA-SUARELLA,2
OCANA,2
HUTTENHEIM,2
BISCHOFFSHEIM,2
ANDLAU,2
MAULÉVRIER,2
CHAMPLAN,2
CANTENAY-EPINARD,2
PAMPROUX,2
PRAHECQ,2
CANTAOUS,2
AIGUEFONDE,2
MONTARDON,2
AIRAINES,2
GIDY,2
IGON,2
SERMAISES,2
ASCOUX,2
VILLEMANDEUR,2
ESPOEY,2
HUISSEAU-SUR-MAUVES,2
MARINGUES,2
CHAMPEIX,2
SAINT-AMANT-TALLENDE,2
SAINT-PÉ-DE-BIGORRE,2
SAINT-BENOÎT-SUR-LOIRE,2
YOUX,2
RANDAN,2
PUY-GUILLAUME,2
FROSSAY,2
PUYLAURENS,2
SAINT-GERVAIS-D'AUVERGNE,2
SAINT-GERMAIN-LEMBRON,2
OLLIERGUES,2
LES ANCIZES-COMPS,2
BOULOUPARI,2
FEUQUIÈRES-EN-VIMEU,2
SERRES-CASTET,2
TRAÎNOU,2
BAULE,2
SAINT MAURICE ETUSSON,2
CLAIRAC,2
SOUES,2
CHÂTILLON-SUR-THOUET,2
VIRAZEIL,2
LUC,2
LAUGNAC,2
GOURGÉ,2
LOUZY,2
AUBIAC,2
SAINT-PARDOUX-SOUTIERS,2
LAROQUE-TIMBAUT,2
L'ABSIE,2
CASTELNAU-MONTRATIER,2
CAJARC,2
BALIROS,2
MONT,2
MARTEL,2
SAUVAGNON,2
BELLEFONT-LA RAUZE,2
SOURAÏDE,2
CAME,2
LARRESSORE,2
MEISTRATZHEIM,2
EVETTE-SALBERT,2
LANDRÉVARZEC,2
MALAUNAY,2
DARNIEULLES,2
CHAZAY-D'AZERGUES,2
SAINT-LAURENT-DE-MURE,2
LIMAS,2
FONTENAY,2
AUDUN-LE-ROMAN,2
EPOUVILLE,2
VOURLES,2
DENICÉ,2
SAINT-PIERRE-LA-COUR,2
AHUILLÉ,2
LA BACONNIÈRE,2
BRINDAS,2
SAINT-DENIS-DE-GASTINES,2
LA VOIVRE,2
TALUYERS,2
ANNEVILLE-SUR-SCIE,2
FONTAINES-SUR-SAÔNE,2
L'HUISSERIE,2
ERNÉE,2
COUDRAY,2
CHÉRANCÉ,2
SANCY,2
LE BURET,2
COMMUNAY,2
BOOS,2
DORANS,2
CHANTEHEUX,2
BRAS-SUR-MEUSE,2
BESSENAY,2
LE VIGEN,2
AUBOUÉ,2
DIEULOUARD,2
VILLERS-LA-MONTAGNE,2
CRUSNES,2
NOMENY,2
OCTEVILLE-SUR-MER,2
LE PERRÉON,2
MONTANAY,2
SAULNES,2
LISSIEU,2
NOISEAU,2
AMPUIS,2
SAINT-BRICE-SUR-VIENNE,2
ISNEAUVILLE,2
BLACÉ,2
PIERREPONT,2
SÉRÉZIN-DU-RHÔNE,2
LOZANNE,2
CHAPONNAY,2
SAINT-ETIENNE-DES-OULLIÈRES,2
FOUCARMONT,2
BAGNOLS,2
COMMENY,2
CHÂTEAUVILLAIN,2
TOUQUIN,2
THÈREVAL,2
STOTZHEIM,2
LA BROQUE,2
PONTORSON,2
SAINT-CYR-SUR-MORIN,2
SURBOURG,2
BEAUCHAMPS,2
ISIGNY-LE-BUAT,2
MERTZWILLER,2
VENDENHEIM,2
ROESCHWOOG,2
DEUX RIVIÈRES,2
BETTANCOURT-LA-FERRÉE,2
ITTENHEIM,2
PONTCARRÉ,2
NIEDERBRONN-LES-BAINS,2
BOURRON-MARLOTTE,2
LINDRY,2
PLOBSHEIM,2
HOLTZHEIM,2
LA CHAPELLE-LA-REINE,2
MONTHYON,2
MONTSOULT,2
BAGNEAUX-SUR-LOING,2
CHARS,2
BERNES-SUR-OISE,2
COURTOMER,2
SCHOENAU,2
SAULXURES,2
POMEYS,2
US,2
SAINT-MEMMIE,2
UXEGNEY,2
ASNIÈRES-SUR-OISE,2
EGUISHEIM,2
BITSCHWILLER-LÈS-THANN,2
ANGLURE,2
PONT-SUR-YONNE,2
ESCHENTZWILLER,2
COMPERTRIX,2
VILLE-EN-TARDENOIS,2
GUEUX,2
DIZY,2
VENDREST,2
LAUTENBACH,2
BALDERSHEIM,2
CHABLIS,2
WIDENSOLEN,2
KUNHEIM,2
CRÉANCES,2
BLOTZHEIM,2
ABBARETZ,2
VEYRE-MONTON,2
TALLENDE,2
PEYROLLES-EN-PROVENCE,2
VEUREY-VOROIZE,2
SAINT-JUST-DE-CLAIX,2
LA DESTROUSSE,2
BONNAT,2
MOIDIEU-DÉTOURBE,2
LE CHEYLAS,2
SAINT-CANNAT,2
CRÊTS EN BELLEDONNE,2
FONTANIL-CORNILLON,2
LA CÔTE-SAINT-ANDRÉ,2
ARTAS,2
VILLETTE-D'ANTHON,2
FLEURY-SUR-ORNE,2
SATOLAS-ET-BONCE,2
GRÉASQUE,2
SAINT-GEORGES-DE-COMMIERS,2
SAINT ANTOINE L'ABBAYE,2
POISAT,2
VENTEROL,2
DOMARIN,2
SANTENY,2
SAINT-ANDIOL,2
PUYLOUBIER,2
LE BOURG-D'OISANS,2
MOULT-CHICHEBOVILLE,2
DIVES-SUR-MER,2
SAINT-NICOLAS-DE-LA-GRAVE,2
HIKUERU,2
HAGETMAU,2
LANOBRE,2
ARGIÉSANS,2
VAL D'ARCOMIE,2
FORGES-LES-BAINS,2
VILLEJUST,2
POUEMBOUT,2
LAIZE-CLINCHAMPS,2
ILE-DES-PINS,2
RION-DES-LANDES,2
FANGATAU,2
ALO,2
CASSAGNES-BÉGONHÈS,2
RANVILLE,2
SAINT-MARTIN-BELLE-ROCHE,2
DOUVRES-LA-DÉLIVRANDE,2
MOIRANS-EN-MONTAGNE,2
PIPRIAC,2
SAINT-ARNOULT,2
CLUNY,2
MOUEN,2
COUCOURON,2
VERSON,2
BÉNOUVILLE,2
BOUGÉ-CHAMBALUD,2
CÉRÉ-LA-RONDE,2
MAUSSANE-LES-ALPILLES,2
DOMAGNÉ,2
ROISSY-EN-FRANCE,2
VILLEGAILHENC,2
VILLALIER,2
VAL-D'IZÉ,2
BOURBONNE-LES-BAINS,2
SAINT-AIGNAN-SUR-ROË,2
LE THEIL-DE-BRETAGNE,2
SENS-DE-BRETAGNE,2
LA CHAPELLE-FLEURIGNÉ,2
BROUDERDORFF,2
FANJEAUX,2
ESPÉRAZA,2
TRUYES,2
MONTBRONN,2
LA CHAPELLE-CHAUSSÉE,2
BAINS-SUR-OUST,2
MONTREUIL-SUR-ILLE,2
LOHÉAC,2
BRÉVIANDES,2
SAINT-MÉLOIR-DES-ONDES,2
SAINT-PARRES-AUX-TERTRES,2
LE PERTRE,2
PONT-SAINTE-MARIE,2
MONTREUIL-LE-GAST,2
SAINT-ALBAN-SUR-LIMAGNOLE,2
PORT-LA-NOUVELLE,2
GUIPEL,2
MÉZIÈRES-SUR-COUESNON,2
VERNOU-SUR-BRENNE,2
CHOUZÉ-SUR-LOIRE,2
SAINT-MÉDARD,2
JOUQUES,2
NOYANT-DE-TOURAINE,2
CARRY-LE-ROUET,2
VALENÇAY,2
SOUGÉ,2
SAINT-GAULTIER,2
CHÂTILLON-SUR-INDRE,2
TOURNEMIRE,2
SAVIGNAC,2
ENTRAIGUES,2
SAINT-HONORÉ,2
SAINTE-RADEGONDE,2
SAINT-AMOUR,2
LABOUHEYRE,2
MÉDRÉAC,2
PALMAS D'AVEYRON,2
FOISSAC,2
BOZOULS,2
SAINT-MARC-LE-BLANC,2
COËSMES,2
ARPAJON-SUR-CÈRE,2
ROUGEMONT-LE-CHÂTEAU,2
SAINT-SAUVEUR-EN-PUISAYE,2
FOËCY,2
MALAUCÈNE,2
EGLETONS,2
CORDEMAIS,2
LE BARROUX,2
ERBRAY,2
ROCHETREJOUX,2
SAINT-PAULIEN,2
SAINT-AVAUGOURD-DES-LANDES,2
SAINT-MARTIN-DES-NOYERS,2
SAINT-PROUANT,2
LAPTE,2
SAUGUES,2
GENOUILLY,2
SAINT-GEORGES-DE-POINTINDOUX,2
RIOTORD,2
SAINT-HILAIRE-DES-LOGES,2
SAINT-MAURICE-DE-LIGNON,2
BRETIGNOLLES-SUR-MER,2
CHÂTEAUMEILLANT,2
LA BRUFFIÈRE,2
LA BOISSIÈRE-DES-LANDES,2
GROSBREUIL,2
L'HERMENAULT,2
LA TRANCHE-SUR-MER,2
MEYMAC,2
BORMES-LES-MIMOSAS,2
NANS-LES-PINS,2
NAVES,2
SAINT-AUBIN-DES-CHÂTEAUX,2
LUSANGER,2
MAISDON-SUR-SÈVRE,2
MONTPEZAT-DE-QUERCY,2
TAHUATA,2
ASSÉRAC,2
CASSON,2
SIGNES,2
BROUSSE,2
SAINT-VINCENT-DES-LANDES,2
TAKAROA,2
AULHAT-FLAT,2
ANAA,2
AIX-NOULETTE,2
LE PLAN-DE-LA-TOUR,2
MANIHI,2
SAINT-NICOLAS-DE-REDON,2
NAPUKA,2
SAINT-MOLF,2
BEAUVOIR-WAVANS,2
AMETTES,2
CAMPS-LA-SOURCE,2
AUPS,2
LES BROUZILS,2
SAINT-SATUR,2
RAVIÈRES,2
COTEAUX-DU-BLANZACAIS,2
MONTLIVAULT,2
PROVENCHÈRES-ET-COLROY,2
LE VAL-D'AJOL,2
ESSOUVERT,2
HUISSEAU-SUR-COSSON,2
NOYERS-SUR-CHER,2
SAINT-AMANT-DE-BOIXE,2
SAINT-VIÂTRE,2
LES MONTILS,2
GARAT,2
BRACIEUX,2
SAMBIN,2
SAINT-AGNANT,2
SAINT-LOUP,2
COURLON-SUR-YONNE,2
BERNAC,2
LES VALLÉES DE LA VANNE,2
LA BOIXE,2
SANGUINET,2
SAINT-JULIEN-DU-SAULT,2
VILLENEUVE-DE-MARSAN,2
CHAMPS-SUR-YONNE,2
CHASSY,2
SAINT-LON-LES-MINES,2
CRAVANS,2
BIRON,2
MARIGNAC,2
ESTIVAREILLES,2
SAINT-GEORGES-D'OLÉRON,2
PLANFOY,2
LA JARRIE,2
SAINT-MARTIN-LA-PLAINE,2
DOLUS-D'OLÉRON,2
SAINT-GEORGES-DU-BOIS,2
RENAISON,2
SAINT-SYMPHORIEN-DE-LAY,2
CHAUMONTEL,2
CHARRON,2
BELMONT-DE-LA-LOIRE,2
BELLEGARDE-EN-FOREZ,2
SAINT-GENCE,2
FOURAS,2
ETAULES,2
BESSINES-SUR-GARTEMPE,2
SAINT-ROMAIN-EN-JAREZ,2
SAINT-MARTIN-LESTRA,2
VICO,2
NIEUL,2
SAINT-JUST-LE-MARTEL,2
POUILLY-LES-NONAINS,2
MONTROND-LES-BAINS,2
SAINT-DIDIER-AU-MONT-D'OR,2
JOSSELIN,2
KERFOURN,2
NEXON,2
BOSMIE-L'AIGUILLE,2
SAINT-LÉONARD-DE-NOBLAT,2
FEYTIAT,2
SAINT-PIERRE-DE-CHANDIEU,2
ANGRES,2
CHÂTEAUNEUF-LA-FORÊT,2
AIGREMONT,2
CONDAT-SUR-VIENNE,2
NANTIAT,2
SAINT-PRIEST-TAURION,2
GOUPILLIÈRES,2
LABOURSE,2
ROCHECHOUART,2
MONDREVILLE,2
JUZIERS,2
ORGERUS,2
FLEURIE,2
VERNEUIL-SUR-VIENNE,2
COUZEIX,2
DARNEY,2
FEUCHEROLLES,2
GIVENCHY-EN-GOHELLE,2
HENNEZEL,2
CONTREXÉVILLE,2
CHAPTELAT,2
CHARBONNIÈRES-LES-VARENNES,2
BELLÊME,2
VASLES,2
CHAUNAY,2
CISSÉ,2
LES MARTRES-D'ARTIÈRE,2
FONTAINE-LE-COMTE,2
VILLERS-BRETONNEUX,2
AUZAT-LA-COMBELLE,2
JUMEAUX,2
MAGNÉ,2
CIVRIEUX-D'AZERGUES,2
SAINT-BONNET-PRÈS-RIOM,2
MONTAMISÉ,2
LES ORMES,2
MUROL,2
QUINÇAY,2
THÉNEZAY,2
SENILLÉ-SAINT-SAUVEUR,2
GRANZAY-GRIPT,2
SÈVRES-ANXAUMONT,2
ROYAT,2
USSON-DU-POITOU,2
ROCHES-PRÉMARIE-ANDILLÉ,2
SMARVES,2
VOUNEUIL-SUR-VIENNE,2
CUBLIZE,2
ABLIS,2
BONNELLES,2
SAULTY,2
LA FERTÉ-GAUCHER,2
NOIDANS-LÈS-VESOUL,2
VILLENEUVE-LE-COMTE,2
ROUVRAY,2
MORTCERF,2
GURGY,2
SOUCY,2
CHOCQUES,2
EGREVILLE,2
VILLEBLEVIN,2
PONTIGNY,2
COLLÉGIEN,2
VERMENTON,2
ELOYES,2
CHAMPLAY,2
ARCES-DILO,2
CHAMVRES,2
THIEUX,2
EPINAC,2
ECOUCHÉ-LES-VALLÉES,2
BEAUTHEIL-SAINTS,2
PUTANGES-LE-LAC,2
GUÉRARD,2
LA CLAYETTE,2
LONGNY LES VILLAGES,2
DOMECY-SUR-CURE,2
BUTTEAUX,2
AILLEVILLERS-ET-LYAUMONT,2
COUILLY-PONT-AUX-DAMES,2
BOURLON,2
OZOUER-LE-VOULGIS,2
CHOISY-EN-BRIE,2
FEUCHY,2
COURPALAY,2
LA SALLE,2
CONGIS-SUR-THÉROUANNE,2
CORNIMONT,2
CHANTRAINE,2
XONRUPT-LONGEMER,2
PLAINFAING,2
SAINT-NABORD,2
MAROLLES-SUR-SEINE,2
HADOL,2
MAGNY,2
SAUVIGNY-LE-BOIS,2
MONTIGNY-SUR-LOING,2
GUIGNES,2
VOULX,2
MIGÉ,2
SIVRY-COURTRY,2
MONTBOZON,2
RONCHAMP,2
EGLISENEUVE-PRÈS-BILLOM,2
BONNEUIL-MATOURS,2
AUTHIE,2
LAVIT,2
RÉGUSSE,2
MONTESCOT,2
VINÇA,2
LE BARCARÈS,2
PALAU-DE-CERDAGNE,2
ALTHEN-DES-PALUDS,2
LLUPIA,2
GRISOLLES,2
BAHO,2
BRESSOLS,2
