label,nb_universites
ETAMPES,21
CAGNES-SUR-MER,21
CALUIRE-ET-CUIRE,21
ECHIROLLES,21
MONTÉLIMAR,21
SAINT-LEU,21
VIRY-CHÂTILLON,21
PONTOISE,21
MAUBEUGE,21
MONTBÉLIARD,21
VIENNE,21
BOURG-EN-BRESSE,21
DUMBEA,21
LENS,21
CARPENTRAS,21
MEUDON,21
BAIE-MAHAULT,21
VERNON,21
ELANCOURT,21
THIONVILLE,21
MARCQ-EN-BAROEUL,20
SAINT-MARTIN-D'HÈRES,20
FRANCONVILLE,20
SAINTE-ANNE,20
VILLENAVE-D'ORNON,20
PUTEAUX,20
HAGUENAU,20
VIERZON,20
BAGNOLET,20
GAGNY,20
PÉRIGUEUX,20
SAINT-ETIENNE-DU-ROUVRAY,20
ORANGE,20
REZÉ,20
GOUSSAINVILLE,20
GIVORS,20
CHOISY-LE-ROI,20
RAMBOUILLET,20
CHAMPS-SUR-MARNE,20
MIRAMAS,20
SAUMUR,20
SAINT-LAURENT-DU-VAR,19
ABBEVILLE,19
OYONNAX,19
BOURGOIN-JALLIEU,19
KOUROU,19
NEUILLY-SUR-SEINE,19
PARIS  9E  ARRONDISSEMENT,19
MARSEILLE  2E  ARRONDISSEMENT,19
NEVERS,19
DIEPPE,19
CONFLANS-SAINTE-HONORINE,19
TAVERNY,19
BÉTHUNE,19
CHÂTELLERAULT,19
SAINTES,19
CHEMILLÉ-EN-ANJOU,19
BAGNEUX,19
BEAUPRÉAU-EN-MAUGES,19
GONESSE,19
LES ULIS,19
SENS,19
ANGLET,19
MARIGNANE,18
MONT-DE-MARSAN,18
VINCENNES,18
VIGNEUX-SUR-SEINE,18
SARREGUEMINES,18
LAON,18
TALENCE,18
BUSSY-SAINT-GEORGES,18
OULLINS-PIERRE-BÉNITE,18
COLOMIERS,18
SAVIGNY-SUR-ORGE,18
SÈVREMOINE,18
RILLIEUX-LA-PAPE,18
VANDOEUVRE-LÈS-NANCY,18
PARIS  8E  ARRONDISSEMENT,18
ALBI,18
MARÉ,18
ROANNE,18
MARSEILLE  7E  ARRONDISSEMENT,18
VILLENEUVE-SUR-LOT,18
CENON,18
CAPESTERRE-BELLE-EAU,17
JOUÉ-LÈS-TOURS,17
LYON 4E  ARRONDISSEMENT,17
MENTON,17
MONTEREAU-FAULT-YONNE,17
YERRES,17
SAINTE-SUZANNE,17
FONTAINE,17
MONT-DORE,17
LE LAMENTIN,17
MAUGES-SUR-LOIRE,17
HERBLAY-SUR-SEINE,17
MONTFERMEIL,17
MARSEILLE  5E  ARRONDISSEMENT,17
ATHIS-MONS,17
BEZONS,17
BERGERAC,17
EPERNAY,17
COUDEKERQUE-BRANCHE,17
PONTAULT-COMBAULT,17
ROMAINVILLE,16
DAMMARIE-LES-LYS,16
ALFORTVILLE,16
SAINT-CLOUD,16
LORMONT,16
MOISSY-CRAMAYEL,16
SAINT-RAPHAËL,16
AUCH,16
MARSEILLE 16E  ARRONDISSEMENT,16
TSINGONI,16
SANNOIS,16
DOLE,16
ORÉE D'ANJOU,16
LE GOSIER,16
HOUILLES,16
SAINT-AVOLD,16
AIX-LES-BAINS,16
MONTROUGE,16
POINTE-À-PITRE,16
BRON,16
ORLY,16
MANTES-LA-VILLE,16
BÈGLES,16
MORSANG-SUR-ORGE,16
ALENÇON,16
BRUNOY,16
THONON-LES-BAINS,16
BRÉTIGNY-SUR-ORGE,16
VERNOUILLET,16
LE MÉE-SUR-SEINE,16
AGDE,16
LE PUY-EN-VELAY,16
